Id;y1;y2;y3;y4;y5
173;122.7;43.8;0.0;52;76.67
174;133.1;95.5;0.0;48;69.7
175;206.8;139.4;0.0;40;181.22
176;263.7;177.4;0.0;44;250.92
177;278.4;218.2;0.0;48;236.98
178;278.9;231.2;0.0;60;383.35
179;270.8;220.8;0.0;60;390.32
180;274.9;196.1;0.0;68;397.29
181;262.2;177.4;0.0;68;355.47
182;252.1;184.1;0.0;76;6.97
183;218.2;178.6;0.0;80;564.57
184;185.5;183.3;0.0;80;230.01
185;204.3;170.5;0.0;68;236.98
186;197.8;153.0;0.0;60;223.04
187;157.9;131.4;0.0;60;230.01
188;128.5;84.2;0.0;188;97.58
189;127.0;48.7;0.0;164;62.73
190;119.4;43.8;0.0;60;69.7
191;121.3;45.4;0.0;56;62.73
192;114.7;44.0;0.0;56;55.76
193;111.8;43.2;0.0;56;69.7
194;114.9;42.1;0.0;52;69.7
195;111.0;42.3;0.0;52;62.73
196;112.8;43.7;0.0;52;62.73
197;117.3;43.0;0.0;52;76.67
198;112.5;43.1;0.0;52;69.7
199;118.6;44.7;0.0;48;76.67
200;115.9;46.4;0.0;52;69.7
201;116.0;48.4;0.0;52;69.7
202;114.8;50.6;0.0;52;69.7
203;113.1;51.9;0.0;48;69.7
204;116.2;48.9;0.0;56;69.7
205;116.5;48.8;0.0;52;62.73
206;118.0;48.1;0.0;56;62.73
207;114.0;47.5;0.0;52;48.79
208;113.2;48.0;0.0;52;69.7
209;115.9;47.7;0.0;52;62.73
210;113.3;49.8;0.0;56;62.73
211;113.3;50.6;0.0;52;69.7
212;114.8;46.3;0.0;48;62.73
213;119.0;44.6;0.0;52;55.76
214;120.0;44.1;0.0;48;76.67
215;114.6;46.7;0.0;52;76.67
216;118.0;46.2;0.0;48;69.7
217;117.0;45.1;0.0;52;62.73
218;115.0;45.0;0.0;48;69.7
219;116.2;44.4;0.0;48;69.7
220;114.4;45.6;0.0;48;69.7
221;119.3;48.0;0.0;52;62.73
222;116.7;46.8;0.0;48;69.7
223;116.7;47.4;0.0;48;69.7
224;115.6;47.3;0.0;48;62.73
225;112.8;49.0;0.0;48;83.64
226;112.9;51.1;0.0;44;62.73
227;114.0;53.3;0.0;44;62.73
228;110.7;51.2;0.0;44;69.7
229;119.4;51.9;0.0;44;69.7
230;115.5;51.1;0.0;44;62.73
231;115.7;50.7;0.0;44;69.7
232;115.3;51.6;0.0;44;62.73
233;115.4;52.1;0.0;44;69.7
234;116.9;55.2;0.0;40;69.7
235;115.1;55.0;0.0;44;76.67
236;116.5;51.7;0.0;40;62.73
237;124.1;49.8;0.0;44;76.67
238;120.0;49.1;0.0;40;62.73
239;119.8;51.2;0.0;52;69.7
240;118.6;50.6;0.0;40;69.7
241;118.5;49.7;0.0;44;62.73
242;120.0;49.4;0.0;44;62.73
243;117.6;58.1;0.0;40;76.67
244;118.3;65.8;0.0;44;55.76
245;127.3;106.2;0.0;36;118.49
246;147.5;228.5;0.0;44;167.28
247;226.8;271.5;0.0;44;250.92
248;265.1;301.4;0.0;40;278.8
249;269.3;316.1;0.0;40;334.56
250;250.9;259.6;0.0;48;390.32
251;249.9;254.8;0.0;52;362.44
252;259.6;244.5;0.0;48;376.38
253;264.4;233.9;0.0;48;355.47
254;261.3;241.7;0.0;52;355.47
255;226.8;233.5;0.0;56;292.74
256;220.9;226.0;0.0;60;230.01
257;223.7;217.3;0.0;52;243.95
258;216.0;200.5;0.0;48;230.01
259;199.1;168.0;0.0;44;236.98
260;133.2;110.1;0.0;92;97.58
261;118.5;49.4;0.0;152;69.7
262;117.1;44.2;0.0;64;69.7
263;114.3;46.0;0.0;52;69.7
264;114.1;46.7;0.0;48;62.73
265;116.3;41.8;0.0;44;69.7
266;113.4;40.8;0.0;48;69.7
267;115.6;43.1;0.0;44;69.7
268;113.3;54.8;0.0;56;69.7
269;116.9;83.6;0.0;52;62.73
270;138.4;189.9;0.0;40;69.7
271;209.5;235.8;0.0;36;181.22
272;256.3;277.7;0.0;40;202.13
273;274.7;293.3;0.0;48;348.5
274;261.2;234.9;0.0;48;376.38
275;258.8;211.3;0.0;60;369.41
276;264.3;197.5;0.0;56;362.44
277;261.8;182.8;0.0;56;341.53
278;265.2;195.6;0.0;56;369.41
279;237.7;194.9;0.0;76;306.68
280;230.1;197.6;0.0;68;243.95
281;231.5;191.5;0.0;60;250.92
282;224.3;175.8;0.0;52;278.8
283;201.6;148.5;0.0;52;243.95
284;134.5;101.4;0.0;104;90.61
285;122.8;51.1;0.0;160;83.64
286;116.5;44.6;0.0;56;62.73
287;117.4;42.4;0.0;52;76.67
288;116.1;42.2;0.0;44;69.7
289;118.3;42.5;0.0;44;69.7
290;121.2;42.4;0.0;44;76.67
291;118.1;48.1;0.0;44;69.7
292;120.0;55.0;0.0;60;69.7
293;121.7;79.6;0.0;44;76.67
294;137.4;183.7;0.0;36;69.7
295;215.6;237.1;0.0;40;188.19
296;253.2;280.4;0.0;44;230.01
297;254.1;300.9;0.0;44;278.8
298;213.2;221.0;0.0;56;264.86
299;208.1;210.7;0.0;52;243.95
300;219.1;206.2;0.0;52;257.89
301;253.5;196.2;0.0;52;292.74
302;277.5;208.0;0.0;56;306.68
303;231.9;203.2;0.0;64;257.89
304;221.2;206.4;0.0;64;188.19
305;230.5;196.8;0.0;68;181.22
306;214.8;181.7;0.0;56;195.16
307;200.2;153.9;0.0;68;188.19
308;136.0;98.7;0.0;156;76.67
309;123.2;52.4;0.0;144;76.67
310;120.9;46.0;0.0;60;69.7
311;119.7;43.4;0.0;52;76.67
312;121.3;44.4;0.0;44;69.7
313;118.7;45.6;0.0;44;90.61
314;120.1;43.9;0.0;44;83.64
315;121.8;47.2;0.0;44;76.67
316;119.3;56.5;0.0;56;69.7
317;124.6;91.9;0.0;44;83.64
318;141.7;189.0;0.0;36;76.67
319;213.7;238.9;0.0;44;202.13
320;260.8;282.0;0.0;44;236.98
321;269.5;293.1;0.0;44;257.89
322;265.2;234.0;0.0;52;264.86
323;266.5;228.0;0.0;64;390.32
324;272.0;208.4;0.0;60;390.32
325;276.3;185.3;0.0;60;383.35
326;261.2;199.6;0.0;72;397.29
327;252.4;200.9;0.0;76;397.29
328;252.4;200.6;0.0;76;376.38
329;267.5;201.5;0.0;64;383.35
330;244.4;186.2;0.0;56;355.47
331;200.5;146.8;0.0;72;271.83
332;135.1;100.7;0.0;144;83.64
333;118.8;52.6;0.0;156;76.67
334;113.6;45.7;0.0;64;83.64
335;117.8;45.8;0.0;56;83.64
336;113.9;45.0;0.0;48;83.64
337;115.6;45.7;0.0;48;90.61
338;115.5;45.7;0.0;44;83.64
339;115.1;47.8;0.0;40;83.64
340;118.1;56.8;0.0;52;76.67
341;120.2;94.0;0.0;40;83.64
342;137.2;191.5;0.0;36;83.64
343;211.5;241.6;0.0;44;202.13
344;226.2;279.7;0.0;40;243.95
345;229.6;293.5;0.0;44;271.83
346;245.6;251.9;0.0;52;257.89
347;226.1;231.3;0.0;4;278.8
348;265.5;208.6;0.0;100;306.68
349;263.7;191.3;0.0;56;306.68
350;251.3;196.9;0.0;84;313.65
351;214.9;193.0;0.0;84;236.98
352;206.4;193.0;0.0;84;153.34
353;211.2;185.0;0.0;68;174.25
354;196.0;175.4;0.0;56;41.82
355;181.7;151.8;0.0;72;20.91
356;130.6;101.8;0.0;152;6.97
357;123.8;49.8;0.0;132;13.94
358;120.0;42.8;0.0;72;13.94
359;119.0;41.8;0.0;64;13.94
360;116.6;43.3;0.0;60;13.94
361;114.1;43.5;0.0;52;13.94
362;116.5;43.6;0.0;52;6.97
363;115.5;43.7;0.0;56;13.94
364;115.6;44.4;0.0;52;13.94
365;121.2;46.7;0.0;52;13.94
366;116.7;44.7;0.0;48;6.97
367;119.4;48.4;0.0;48;20.91
368;118.3;48.1;0.0;44;13.94
369;120.7;48.3;0.0;52;13.94
370;122.5;49.4;0.0;48;13.94
371;119.2;49.8;0.0;52;6.97
372;118.6;48.4;0.0;52;13.94
373;120.7;49.3;0.0;52;13.94
374;119.8;49.0;0.0;48;13.94
375;120.0;47.2;0.0;56;13.94
376;117.7;49.1;0.0;56;13.94
377;120.6;50.1;0.0;48;13.94
378;119.5;52.2;0.0;48;20.91
379;122.2;53.2;0.0;48;118.49
380;128.5;53.9;0.0;44;313.65
381;126.8;48.0;0.0;48;111.52
382;122.7;50.0;0.0;44;83.64
383;119.4;48.1;0.0;52;76.67
384;121.4;48.7;0.0;44;76.67
385;119.5;48.3;0.0;48;76.67
386;117.5;49.1;0.0;44;90.61
387;119.6;49.4;0.0;44;76.67
388;117.7;50.5;0.0;36;69.7
389;125.0;50.1;0.0;48;90.61
390;119.9;51.9;0.0;44;69.7
391;121.2;51.5;0.0;40;83.64
392;121.5;51.5;0.0;40;76.67
393;118.6;52.0;0.0;44;69.7
394;119.8;54.8;0.0;44;83.64
395;115.8;53.9;0.0;44;69.7
396;117.3;54.2;0.0;44;83.64
397;122.5;53.3;0.0;40;55.76
398;119.6;53.9;0.0;44;83.64
399;121.8;53.6;0.0;40;76.67
400;118.6;54.5;0.0;44;76.67
401;121.5;57.3;0.0;40;76.67
402;118.7;59.0;0.0;44;76.67
403;119.9;59.5;0.0;40;69.7
404;121.6;56.7;0.0;44;83.64
405;122.8;51.3;0.0;40;76.67
406;123.4;53.9;0.0;40;83.64
407;119.5;53.8;0.0;44;90.61
408;120.1;53.3;0.0;36;69.7
409;119.6;53.9;0.0;40;83.64
410;117.8;54.2;0.0;36;76.67
411;120.4;71.9;0.0;40;83.64
412;117.6;89.8;0.0;40;76.67
413;128.5;166.2;0.0;36;83.64
414;146.9;345.4;0.0;40;90.61
415;225.1;380.7;0.0;36;209.1
416;264.0;394.9;0.0;36;264.86
417;273.5;409.6;0.0;44;264.86
418;259.2;351.0;0.0;36;264.86
419;259.0;355.9;0.0;40;264.86
420;264.2;350.1;0.0;36;264.86
421;262.2;330.6;0.0;44;250.92
422;252.3;317.0;0.0;40;285.77
423;221.8;300.3;0.0;44;223.04
424;193.5;301.2;0.0;48;132.43
425;214.3;304.1;0.0;16;118.49
426;213.2;281.3;0.0;68;132.43
427;197.2;241.9;0.0;36;132.43
428;144.6;154.5;0.0;112;111.52
429;137.4;57.0;0.0;124;118.49
430;135.6;51.6;0.0;56;104.55
431;132.5;51.2;0.0;48;125.46
432;133.2;50.2;0.0;44;104.55
433;130.7;52.5;0.0;44;111.52
434;130.3;53.1;0.0;40;111.52
435;132.5;58.0;0.0;44;97.58
436;130.4;74.8;0.0;52;125.46
437;137.1;138.1;0.0;40;104.55
438;152.9;310.3;0.0;36;111.52
439;228.2;344.9;0.0;40;250.92
440;271.5;366.4;0.0;32;327.59
441;268.2;381.7;0.0;40;369.41
442;261.5;327.5;0.0;40;362.44
443;267.7;327.8;0.0;44;369.41
444;263.5;329.3;0.0;40;355.47
445;242.7;302.3;0.0;44;348.5
446;237.0;296.9;0.0;4;362.44
447;256.0;292.3;0.0;72;264.86
448;231.8;281.6;0.0;60;160.31
449;229.1;269.2;0.0;56;146.37
450;212.2;242.2;0.0;52;118.49
451;193.4;220.0;0.0;48;97.58
452;139.5;156.1;0.0;132;76.67
453;129.7;56.6;0.0;136;76.67
454;125.3;50.1;0.0;64;76.67
455;123.0;49.7;0.0;56;69.7
456;127.1;49.3;0.0;48;83.64
457;126.3;51.4;0.0;52;69.7
458;127.6;50.2;0.0;44;76.67
459;126.4;57.6;0.0;52;76.67
460;127.2;83.5;0.0;96;76.67
461;134.0;152.3;0.0;56;76.67
462;173.1;341.2;0.0;40;202.13
463;243.4;373.0;0.0;36;369.41
464;270.1;382.9;0.0;40;376.38
465;268.8;389.6;0.0;36;411.23
466;258.3;339.8;0.0;40;557.6
467;275.3;330.7;0.0;44;536.69
468;263.9;296.3;0.0;48;571.54
469;252.5;266.9;0.0;48;543.66
470;258.8;268.3;0.0;56;564.57
471;248.3;260.6;0.0;56;439.11
472;242.5;260.9;0.0;60;292.74
473;240.3;259.7;0.0;56;223.04
474;225.5;249.2;0.0;48;230.01
475;208.3;229.3;0.0;68;216.07
476;142.7;152.5;0.0;156;90.61
477;134.6;56.1;0.0;136;83.64
478;125.4;50.3;0.0;64;90.61
479;126.0;49.4;0.0;56;83.64
480;124.0;49.8;0.0;52;90.61
481;125.1;50.6;0.0;52;76.67
482;124.3;53.3;0.0;52;90.61
483;124.6;63.7;0.0;44;76.67
484;126.6;88.2;0.0;100;90.61
485;128.1;153.6;0.0;56;90.61
486;172.6;329.6;0.0;40;216.07
487;258.5;375.8;0.0;36;494.87
488;274.8;384.4;0.0;40;480.93
489;281.0;387.0;0.0;40;543.66
490;278.3;325.7;0.0;40;578.51
491;287.1;313.8;0.0;48;571.54
492;299.2;285.2;0.0;48;571.54
493;307.6;291.4;0.0;52;536.69
494;294.9;362.1;0.0;56;543.66
495;260.8;320.0;0.0;88;397.29
496;245.9;307.2;0.0;76;292.74
497;237.1;301.6;0.0;60;285.77
498;192.0;301.6;0.0;56;285.77
499;172.3;285.9;0.0;68;271.83
500;144.1;196.1;0.0;156;97.58
501;131.2;56.4;0.0;124;83.64
502;129.1;49.8;0.0;60;76.67
503;124.4;47.6;0.0;64;83.64
504;126.6;48.2;0.0;48;69.7
505;126.2;47.9;0.0;48;83.64
506;124.6;48.6;0.0;48;76.67
507;127.5;55.0;0.0;48;76.67
508;127.1;75.5;0.0;120;83.64
509;131.4;134.3;0.0;56;83.64
510;174.2;302.0;0.0;40;230.01
511;227.3;330.9;0.0;32;529.72
512;246.5;338.1;0.0;36;571.54
513;300.4;360.1;0.0;44;592.45
514;302.9;403.6;0.0;44;564.57
515;293.5;384.8;0.0;48;564.57
516;303.8;366.8;0.0;44;536.69
517;303.7;346.1;0.0;44;536.69
518;289.6;335.6;0.0;52;522.75
519;245.5;316.3;0.0;52;418.2
520;236.2;312.7;0.0;52;292.74
521;227.6;303.0;0.0;56;299.71
522;233.8;285.8;0.0;52;292.74
523;201.4;264.6;0.0;72;243.95
524;137.1;177.2;0.0;128;97.58
525;131.3;48.0;0.0;100;83.64
526;128.1;44.1;0.0;56;62.73
527;127.3;44.2;0.0;68;76.67
528;122.5;44.7;0.0;56;69.7
529;124.1;43.7;0.0;52;69.7
530;121.0;43.4;0.0;52;76.67
531;121.1;44.0;0.0;56;69.7
532;122.6;44.1;0.0;52;69.7
533;123.7;45.0;0.0;52;76.67
534;125.6;43.8;0.0;48;69.7
535;122.2;45.2;0.0;52;69.7
536;121.6;48.2;0.0;56;69.7
537;123.4;50.0;0.0;48;69.7
538;122.6;50.6;0.0;52;76.67
539;120.0;47.5;0.0;48;69.7
540;117.7;47.6;0.0;52;69.7
541;124.3;49.1;0.0;48;69.7
542;118.4;49.8;0.0;52;76.67
543;120.4;49.9;0.0;44;69.7
544;118.4;48.9;0.0;48;69.7
545;120.5;50.3;0.0;48;76.67
546;121.5;51.0;0.0;48;69.7
547;118.2;51.9;0.0;48;76.67
548;122.3;48.5;0.0;44;76.67
549;123.1;46.0;0.0;44;62.73
550;122.5;46.5;0.0;44;83.64
551;118.6;46.5;0.0;60;69.7
552;0.0;0.0;0.0;0;0.0
553;118.3;42.1;0.0;48;76.67
554;117.2;45.5;0.0;44;69.7
555;119.4;47.3;0.0;44;76.67
556;119.5;47.1;0.0;44;69.7
557;125.6;48.1;0.0;44;69.7
558;119.6;47.6;0.0;44;76.67
559;136.9;50.0;0.0;44;69.7
560;130.4;51.4;0.0;40;76.67
561;123.0;51.1;0.0;48;69.7
562;118.6;49.2;0.0;44;62.73
563;117.3;49.9;0.0;44;76.67
564;127.9;49.9;0.0;44;62.73
565;128.9;48.9;0.0;44;69.7
566;119.9;49.2;0.0;48;55.76
567;116.6;49.4;0.0;44;62.73
568;118.0;49.0;0.0;44;69.7
569;118.2;49.7;0.0;48;62.73
570;118.8;50.4;0.0;44;62.73
571;118.9;52.2;0.0;48;62.73
572;119.0;50.1;0.0;48;55.76
573;123.2;46.7;0.0;44;62.73
574;121.3;45.6;0.0;48;62.73
575;121.7;47.9;0.0;56;90.61
576;117.3;46.7;0.0;44;76.67
577;117.6;45.3;0.0;44;69.7
578;117.0;46.1;0.0;44;69.7
579;117.0;62.6;0.0;44;62.73
580;116.3;82.5;0.0;108;69.7
581;134.2;153.8;0.0;52;160.31
582;177.8;320.1;0.0;44;376.38
583;237.8;353.7;0.0;36;494.87
584;272.0;356.9;0.0;40;501.84
585;280.9;362.2;0.0;40;508.81
586;274.0;384.9;0.0;48;494.87
587;265.4;338.9;0.0;48;536.69
588;271.2;305.3;0.0;56;453.05
589;271.6;271.3;0.0;60;362.44
590;259.6;259.1;0.0;72;376.38
591;218.3;253.1;0.0;92;257.89
592;197.7;253.1;0.0;80;188.19
593;208.7;251.7;0.0;72;202.13
594;197.5;247.1;0.0;60;209.1
595;170.4;238.2;0.0;52;188.19
596;130.4;170.1;0.0;112;83.64
597;123.8;51.9;0.0;132;69.7
598;123.5;44.3;0.0;72;55.76
599;118.9;45.2;0.0;76;62.73
600;119.9;44.5;0.0;64;76.67
601;116.7;42.5;0.0;60;62.73
602;117.9;41.8;0.0;56;76.67
603;118.6;46.2;0.0;56;83.64
604;119.0;59.4;0.0;168;69.7
605;127.4;107.8;0.0;72;69.7
606;173.3;220.8;0.0;44;188.19
607;233.5;237.5;0.0;48;439.11
608;263.1;247.2;0.0;48;411.23
609;286.3;270.5;0.0;56;390.32
610;270.1;322.9;0.0;60;376.38
611;261.4;299.4;0.0;60;355.47
612;275.0;284.3;0.0;56;348.5
613;273.5;273.4;0.0;52;299.71
614;268.0;261.2;0.0;76;320.62
615;227.5;239.8;0.0;84;250.92
616;211.7;237.9;0.0;92;188.19
617;216.8;235.3;0.0;92;195.16
618;215.0;229.0;0.0;80;202.13
619;192.2;214.9;0.0;80;188.19
620;130.4;155.0;0.0;168;76.67
621;124.1;51.3;0.0;204;69.7
622;115.6;44.1;0.0;88;48.79
623;116.2;41.2;0.0;64;62.73
624;116.1;41.7;0.0;68;69.7
625;119.5;41.2;0.0;64;48.79
626;116.8;42.1;0.0;60;48.79
627;117.1;45.7;0.0;68;83.64
628;120.0;62.9;0.0;192;41.82
629;121.7;104.4;0.0;108;55.76
630;163.2;196.8;0.0;56;160.31
631;243.6;215.5;0.0;48;355.47
632;277.2;219.4;0.0;56;362.44
633;274.2;244.1;0.0;56;355.47
634;259.0;293.7;0.0;64;369.41
635;256.2;268.9;0.0;64;355.47
636;269.7;254.9;0.0;64;320.62
637;272.9;246.7;0.0;60;299.71
638;264.9;252.3;0.0;64;306.68
639;227.3;242.5;0.0;72;236.98
640;214.4;235.7;0.0;84;188.19
641;224.6;228.6;0.0;76;188.19
642;217.2;217.4;0.0;68;195.16
643;199.9;201.2;0.0;88;174.25
644;136.9;140.8;0.0;184;76.67
645;125.2;51.5;0.0;160;55.76
646;121.4;44.6;0.0;84;55.76
647;118.6;42.4;0.0;68;62.73
648;119.7;44.3;0.0;64;62.73
649;116.9;44.0;0.0;64;55.76
650;118.9;41.8;0.0;60;83.64
651;116.9;44.9;0.0;60;76.67
652;118.0;59.2;0.0;196;62.73
653;121.1;98.3;0.0;100;62.73
654;160.2;176.4;0.0;52;146.37
655;233.2;192.8;0.0;48;348.5
656;259.9;203.6;0.0;48;376.38
657;263.1;229.5;0.0;32;355.47
658;249.0;270.8;0.0;96;376.38
659;241.1;251.1;0.0;72;355.47
660;250.7;234.3;0.0;68;355.47
661;252.0;229.0;0.0;72;306.68
662;249.5;232.6;0.0;84;355.47
663;212.3;230.1;0.0;60;278.8
664;198.9;225.2;0.0;104;223.04
665;215.7;220.7;0.0;76;223.04
666;215.1;206.1;0.0;108;216.07
667;184.1;196.5;0.0;84;223.04
668;131.1;138.8;0.0;168;83.64
669;125.6;53.0;0.0;156;76.67
670;119.3;44.0;0.0;64;55.76
671;120.9;43.7;0.0;68;62.73
672;119.6;44.1;0.0;64;69.7
673;121.2;43.2;0.0;52;62.73
674;118.3;43.3;0.0;52;62.73
675;118.8;45.5;0.0;56;62.73
676;121.0;59.1;0.0;164;62.73
677;124.2;99.2;0.0;84;69.7
678;166.9;190.9;0.0;40;160.31
679;246.5;208.1;0.0;40;432.14
680;288.4;218.5;0.0;44;460.02
681;282.7;236.7;0.0;48;411.23
682;267.6;279.6;0.0;60;418.2
683;265.3;266.6;0.0;68;383.35
684;265.6;234.7;0.0;80;341.53
685;267.0;237.7;0.0;60;306.68
686;258.4;230.0;0.0;84;320.62
687;221.8;228.3;0.0;80;285.77
688;215.1;222.5;0.0;64;236.98
689;222.8;209.8;0.0;72;230.01
690;220.4;200.2;0.0;64;223.04
691;187.2;190.9;0.0;80;230.01
692;122.6;135.4;0.0;148;83.64
693;114.8;42.2;0.0;144;62.73
694;114.3;34.0;0.0;76;69.7
695;112.9;34.3;0.0;56;62.73
696;108.7;34.6;0.0;56;62.73
697;108.1;33.0;0.0;48;62.73
